Any;mes;dia;C_HORA_TRUCADA;D_COORD_GEO_IMPACTE
2014;5;14;99;32348218 84838798
2013;11;17;99;29644799 82384716
2014;10;23;99;31526194 83469022
2013;3;5;99;32145060 85196903
2013;5;19;99;77
2013;5;17;99;31741376 84455783
2013;7;31;99;30189275 82167044
2014;6;15;99;28808377 82993219
2013;12;29;99;77
2013;11;13;99;77
2013;1;5;99;77
2014;12;11;99;32385608 83030709
2014;7;20;99;31828908 83769119
2014;8;4;99;77
2013;2;25;99;77
2013;2;8;99;31339626 88758770
2013;9;26;99;26754350 84586688
2014;3;7;99;30593675 82544026
2013;11;14;99;28206628 82722161
2013;11;13;99;77
2013;2;1;99;25911598 83446697
2013;9;3;23,03;30895417 82645617
2013;1;26;99;30305769 81144270
2014;12;11;99;28488223 82872126
2014;2;13;99;28486563 82658007
2014;4;10;99;26912716 81175565
2014;3;6;99;32211304 84158480
2013;3;4;99;33012859 88983578
2014;4;15;99;26909218 83914330
2014;12;25;99;77
2014;5;7;99;29834590 83312539
2013;10;14;99;77
2013;11;29;99;31398082 87271693
2014;2;10;99;25965175 83196896
2014;7;14;99;27238067 83486016
2013;7;1;99;77
2014;5;21;99;30944576 84891248
2014;1;23;99;34042941 83628830
2014;3;10;99;31476760 83985368
2013;8;20;99;32099794 81743855
2013;1;30;99;27687229 83247631
2013;10;25;99;77
2013;7;29;99;33537539 84489634
2014;9;4;99;27695143 85330644
2014;7;24;99;77
2013;6;23;99;32875364 86998630
2013;8;7;99;77
2013;5;9;99;28419107 86515654
2013;5;4;99;29369918 82314876
2013;5;18;99;28697168 81828379
2013;10;2;99;27944950 80992464
2013;2;13;99;32132026 85388471
2013;3;22;99;32200632 82834631
2014;3;22;99;32866670 82355383
2013;2;28;99;30186443 87096989
2013;7;1;99;29524490 81499579
2013;5;31;99;77
2013;8;25;99;33384004 88506119
2014;6;3;99;28421346 82345942
2014;3;16;99;33047333 82474000
2014;3;28;99;77
2014;6;16;99;29576688 83757184
2014;9;26;99;77
2014;12;7;99;31476043 83999544
2014;10;3;99;31150929 85440899
2014;6;4;99;27012637 82614923
2014;8;9;99;77
2014;5;14;99;32086923 81704130
2014;10;23;99;425673.693, 4579805.756
2014;1;25;99;77
2013;10;6;99;77
2013;10;14;99;32036418 83020024
2014;7;17;99;27441657 85230552
2013;3;13;99;28667041 81120434
2013;5;18;99;77
2014;7;20;99;77
2014;5;20;99;77
2014;10;26;99;77
2014;9;30;99;31591426 82752962
2013;11;27;99;30756668 83304195
2013;8;15;99;32312571 83282438
2014;12;29;99;77
2013;9;15;99;77
2014;3;3;99;27115824 84928371
2013;3;10;99;425365.545, 4579422.465
2013;7;11;99;77
2013;8;17;99;31447100 84197286
2013;10;21;99;28913992 79248142
2013;9;7;99;33884408 88246379
2014;11;1;99;30675323 82347696
2014;1;22;99;77
2013;4;31;99;41.369379,2.022294
2014;4;15;99;31281117 88831681
2013;10;23;99;29042841 83207125
2014;6;5;99;77
2013;7;4;99;77
2014;6;24;99;28449825 78610479
2014;3;17;99;27908564 83875735
2013;11;19;99;30275554 82844116
2014;10;8;99;29739337 84883927
2013;6;26;99;31362748 86335263
2014;11;22;18,25;30314398 82292194
2013;7;11;99;27005442 83296388
2013;7;16;99;31474542 84374209
2014;5;12;99;32716820 82161230
2014;9;29;99;30828279 83364484
2013;10;20;99;33042943 85033922
2014;7;10;99;27915890 84365476
2013;11;3;99;77
2013;12;23;99;31916025 91259357
2013;5;30;99;31828908 83769119
2013;3;24;99;30588746 82765997
2013;5;17;99;77
2014;9;4;99;29242458 81084891
2013;11;16;99;424867.242, 4580288.441
2014;10;22;99;77
2014;6;14;99;25483236 81675541
2013;9;14;99;29563250 79606653
2013;2;27;99;29824982 81599771
2014;10;15;99;28395085 80952644
2014;3;8;99;29371292 82862438
2014;7;5;99;77
2013;4;3;99;30066462 79015124
2013;9;7;99;32980921 85104911
2014;11;27;99;30028335 83344492
2014;7;13;99;77
2014;10;7;99;30233355 82361475
2014;2;1;99;27605245 81752990
2014;7;4;99;31816358 82444639
2014;2;30;99;32101253 88304901
2013;9;19;99;28132957 84250801
2014;8;17;99;31595179 82764004
2014;5;17;99;77
2014;6;21;99;31141195 83737168
2013;9;21;99;77
2013;10;4;99;27763832 81001439
2013;11;26;99;28739380 84804421
2013;11;27;99;27983599 82718266
2013;12;28;99;29751823 86664861
2014;7;14;99;27609037 85328184
2014;7;22;99;30345089 82129278
2014;8;11;99;26806767 84643712
2013;11;2;99;25542198 82393146
2013;3;20;99;77
